fem,ment,phd,mar,kid5,art
0,6.0000005,2.54,1,1,3
0,1.9999999,2.8599999,1,1,1
0,13.9999971,3.47,1,0,3
0,15.000001,2.8699999,0,0,4
0,3.999999,2.3199999,1,0,0
0,15.000001,1.86,1,2,4
0,3.999999,1.95,1,0,2
0,1.9999999,2.3199999,1,2,0
0,19.9999962,4.25,1,2,1
0,3.999999,1.97,0,0,6
0,41.9999962,1.86,1,0,19
0,7.9999986,3.6900001,1,1,0
0,3,4.54,1,1,0
0,9,3.54,1,0,4
0,9.999999,4.54,1,1,1
0,6.9999995,2.8599999,1,2,11
0,25,3.3599999,1,0,0
0,3,2.8599999,0,0,0
0,3.999999,2.96,1,2,0
0,22,2.5599999,1,2,1
0,7.9999986,1.63,1,0,2
0,13.9999971,2.96,0,0,0
0,0,2.96,1,0,1
0,7.9999986,1.63,1,1,1
0,0,2.96,0,0,0
0,21,2.96,1,2,2
0,6.9999995,2.96,1,0,1
0,30.9999886,4.54,1,2,3
0,1.9999999,4.54,1,2,2
0,9.999999,2.1500001,0,0,1
0,6.0000005,4.54,1,1,2
0,12,2.21,1,2,2
0,0.9999999,2.21,1,1,0
0,29,4.54,0,0,2
0,9.999999,2.21,1,1,3
0,6.0000005,2.21,1,0,0
0,36.9999924,4.54,1,0,3
0,4.9999981,4.54,0,0,4
1,9,2.1199999,0,0,0
1,1.9999999,2.1199999,1,0,0
1,1.9999999,2.1199999,1,0,2
1,3,2.1199999,1,0,3
1,9,2.1199999,1,1,1
1,10.9999971,2.3900001,0,0,3
1,4.9999981,2.5799999,0,0,2
1,6.9999995,3.1900001,1,0,4
1,4.9999981,3.75,0,0,0
1,3,3.5899999,0,0,1
1,1.9999999,2.5799999,0,0,2
1,0,3.75,0,0,3
1,4.9999981,3.75,1,0,0
1,0.9999999,3.75,0,0,0
1,3.999999,1.22,1,2,2
1,13.9999971,3.75,0,0,0
1,6.9999995,3.75,1,0,0
1,26,3.75,0,0,0
1,7.9999986,3.75,0,0,2
1,3,3.75,0,0,4
1,6.0000005,3.75,0,0,0
1,21,3.75,0,0,1
1,7.9999986,3.75,1,0,2
1,3.999999,3.75,0,0,0
1,6.9999995,3.75,1,1,1
1,0,3.75,1,0,2
1,0,2.54,1,1,0
1,0.9999999,2.54,1,0,0
1,3.999999,2.76,0,0,0
1,1.9999999,4.1399999,0,0,0
1,3.999999,0.92,0,0,1
1,0,1.005,0,0,0
1,6.0000005,3.0899999,0,0,2
1,3,3.0899999,1,1,2
1,0,1.79,0,0,0
1,3,1.4,0,0,1
1,3,1.4,0,0,4
1,0,1.4,1,0,2
1,0,1.4,0,0,2
1,13.9999971,1.4,0,0,0
1,12,1.4,0,0,1
1,1.9999999,1.4,0,0,1
1,6.0000005,2,0,0,1
1,10.9999971,4.3400002,1,0,2
1,6.0000005,4.3400002,1,0,4
1,0,1.75,0,0,0
1,36,2.0999999,1,0,6
1,7.9999986,2.0999999,0,0,1
1,1.9999999,2.0999999,0,0,0
1,10.9999971,3.5899999,1,0,2
1,10.9999971,3.5899999,1,2,2
1,17.9999981,3.5899999,0,0,0
1,3.999999,3.5899999,0,0,0
1,17.9999981,3.5899999,1,0,10
1,7.9999986,3.5899999,0,0,1
1,19.0000019,3.4100001,1,0,3
1,3.999999,3.4100001,1,0,4
1,4.9999981,3.4100001,1,2,0
1,6.9999995,3.4000001,0,0,1
1,3.999999,3.4000001,1,1,2
1,4.9999981,3.4000001,1,0,4
1,13.9999971,3.4000001,1,0,1
1,3.999999,3.4000001,1,0,0
1,3.999999,2.52,0,0,3
1,0,2.52,0,0,1
1,15.000001,3.6900001,1,1,2
1,0.9999999,3.6900001,1,0,1
1,3,3.6900001,1,1,0
1,17.9999981,3.6900001,0,0,1
1,15.000001,2.8699999,0,0,0
1,4.9999981,2.8699999,1,0,1
1,17.9999981,2.8699999,1,0,1
1,9,2.8699999,0,0,2
1,6.0000005,2.8699999,0,0,4
1,15.000001,2.8699999,1,0,1
1,3.999999,3.3599999,0,0,2
1,1.9999999,3.3599999,1,2,0
1,3,3.3599999,0,0,2
1,6.9999995,3.3599999,0,0,0
1,15.9999981,4.54,1,0,4
1,48,4.54,1,2,2
1,15.000001,4.54,1,0,5
1,36.9999924,4.54,0,0,1
1,9.999999,4.54,1,0,2
1,13,4.54,0,0,2
1,6.0000005,4.54,1,2,0
1,13,0.755,0,0,0
1,6.9999995,4.54,1,1,2
1,9,4.54,1,0,2
1,4.9999981,4.54,0,0,2
1,15.000001,4.54,0,0,6
1,3,4.54,0,0,3
1,13.9999971,4.54,0,0,0
1,1.9999999,1.28,1,0,1
1,3.999999,1.28,1,0,4
1,3.999999,1.28,1,0,0
1,0,2.5,1,1,0
1,47.0000076,3.8499999,1,2,2
1,29,3.8499999,1,0,1
1,0.9999999,3.8499999,1,1,5
1,17.9999981,3.8499999,0,0,1
1,13,2.05,0,0,1
1,17,2.05,0,0,1
1,1.9999999,2.05,0,0,2
1,3.999999,1.78,1,0,4
1,0.9999999,1.1799999,1,0,1
1,3,1.52,1,0,0
1,9,1.48,1,0,2
1,12,4.29,0,0,0
1,17,4.29,0,0,1
1,4.9999981,4.29,0,0,3
1,1.9999999,3.0899999,1,0,2
1,0,3.0899999,0,0,2
1,3,3.6199999,0,0,5
1,6.9999995,3.6199999,0,0,0
1,7.9999986,3.6199999,0,0,0
1,0,4.29,0,0,0
1,6.0000005,2.6099999,1,1,1
1,6.9999995,2.6099999,1,0,1
1,9,2.0999999,0,0,0
1,7.9999986,2.96,1,0,2
1,9.999999,2.3900001,0,0,0
1,3,1.95,1,0,1
1,13.9999971,3.4100001,0,0,2
1,0.9999999,4.29,0,0,2
1,10.9999971,3.5899999,0,0,2
1,9.999999,4.6199999,0,0,1
1,6.0000005,2.1400001,0,0,1
1,10.9999971,2.8599999,0,0,0
1,4.9999981,3.47,0,0,2
1,13.9999971,4.6199999,1,1,3
1,9,3.1900001,1,3,1
1,0.9999999,2.51,0,0,1
1,0,2.1199999,0,0,0
1,3,3.1900001,0,0,0
1,3.999999,1.74,1,1,2
1,0,1.25,1,0,0
1,6.9999995,3.6900001,1,0,0
1,4.9999981,3.21,0,0,0
1,15.000001,4.6199999,1,1,0
1,24.0000019,2.8599999,1,0,5
1,9,2.3900001,1,1,1
1,0,1.1799999,1,0,3
1,6.9999995,3.3599999,0,0,2
1,7.9999986,1.97,0,0,2
1,22,1.64,1,0,1
1,6.9999995,3.9200001,1,0,2
1,6.0000005,3.3199999,0,0,6
1,6.0000005,2.5799999,0,0,5
1,22.9999962,4.54,0,0,2
1,1.9999999,2.3900001,1,0,0
1,9,3.5899999,0,0,4
1,6.9999995,3.6900001,0,0,2
1,9.999999,3.1900001,0,0,2
1,3.999999,2.3199999,0,0,2
1,10.9999971,3.47,1,1,2
1,3.999999,3.6900001,0,0,2
1,4.9999981,2.3199999,1,1,3
1,10.9999971,3.1900001,0,0,1
1,19.0000019,4.54,0,0,1
1,3,3.3599999,1,1,0
1,4.9999981,2.5799999,1,0,2
1,6.9999995,3.21,1,1,2
1,3,1.4,0,0,1
1,9.999999,2.5,0,0,4
1,0,3.1900001,1,2,0
1,3,3.3599999,0,0,0
1,9,3.1500001,0,0,6
1,6.9999995,1.45,1,0,2
1,6.9999995,2.8599999,1,2,1
1,48.9999924,4.6199999,1,1,3
1,1.9999999,3.6900001,1,0,0
1,19.0000019,2.96,1,0,1
1,12,3.0899999,1,1,1
1,0.9999999,3.0899999,0,0,0
1,12,4.6199999,0,0,2
1,13,2.8599999,1,0,0
1,1.9999999,3.21,0,0,0
1,3,2.8299999,1,0,2
1,22,4.29,0,0,1
1,35.0000076,4.29,0,0,0
1,0.9999999,3.0899999,1,0,2
1,3.999999,3.6900001,0,0,0
1,0.9999999,1.79,1,0,0
1,1.9999999,3.3599999,1,1,0
1,13.9999971,2.5799999,1,0,4
1,24.0000019,3.75,0,0,1
1,4.9999981,3.1900001,0,0,2
1,0.9999999,2.0999999,0,0,0
1,7.9999986,3.5899999,1,1,0
1,0.9999999,3.9200001,0,0,0
1,24.0000019,3.3199999,1,1,1
1,1.9999999,2,0,0,0
1,1.9999999,3.47,1,0,0
1,13.9999971,3.21,1,0,4
1,4.9999981,2.05,0,0,3
1,0.9999999,2.52,0,0,0
1,6.9999995,3.1500001,1,0,0
1,38.0000038,1.86,1,2,6
1,3,2.8599999,0,0,2
1,3.999999,4.29,1,1,4
1,0,1.255,1,2,0
1,19.0000019,3.21,1,0,5
1,4.9999981,2.3199999,1,1,1
1,3,3.1900001,0,0,4
1,1.9999999,3.1900001,1,0,1
1,10.9999971,3.3599999,1,0,3
1,13.9999971,3.54,1,1,1
1,6.0000005,1.86,1,0,0
1,13,1.505,0,0,0
1,6.9999995,2.3900001,1,0,1
1,10.9999971,4.29,1,1,2
1,9,2,1,1,0
1,3.999999,3.9200001,0,0,1
1,6.0000005,4.29,1,0,2
1,6.0000005,3.3599999,0,0,1
1,13.9999971,4.6199999,1,0,3
1,6.0000005,2,0,0,1
1,4.9999981,3.5899999,1,0,2
1,6.0000005,2.8699999,0,0,1
1,3.999999,2.96,0,0,0
1,10.9999971,3.47,1,0,0
1,7.9999986,3.1900001,1,0,4
1,3,2.8599999,1,1,0
1,15.9999981,2.52,1,0,2
1,6.0000005,4.29,0,0,1
1,0,1.255,0,0,1
1,1.9999999,1.83,1,0,0
1,12,4.29,0,0,3
1,7.9999986,2.96,1,0,0
1,0.9999999,2.3199999,1,0,1
1,10.9999971,1.22,1,1,0
1,10.9999971,4.29,1,0,1
1,1.9999999,4.25,0,0,1
1,36,2.55,0,0,2
1,10.9999971,1.95,1,0,1
1,1.9999999,3.6900001,0,0,0
1,25,4.29,0,0,1
1,4.9999981,3.1900001,1,0,2
1,12,3.54,1,1,4
1,4.9999981,3.54,1,0,4
1,7.9999986,3.54,1,1,0
1,0.9999999,1.86,1,1,3
1,3,4.6199999,0,0,4
1,15.9999981,4.6199999,1,0,1
1,9.999999,4.6199999,1,0,3
1,13,4.54,1,0,1
1,0.9999999,3.47,1,0,0
1,15.9999981,2.8599999,0,0,0
1,6.9999995,2,1,0,0
1,1.9999999,2,0,0,0
1,3,2.6099999,1,0,0
1,6.0000005,2.05,0,0,0
1,6.0000005,2.05,0,0,0
1,4.9999981,3.54,0,0,0
1,0,0.92,1,0,2
1,0,1.79,1,0,0
1,6.0000005,2,1,0,0
1,7.9999986,3.1500001,0,0,4
1,15.9999981,2.26,1,0,5
1,3.999999,2.26,0,0,1
1,0.9999999,4.29,1,0,6
1,21,4.29,1,0,1
1,9,4.54,0,0,1
1,3,3.3599999,1,1,0
1,1.9999999,2.52,0,0,0
1,9.999999,4.29,0,0,3
1,9,4.29,0,0,0
1,12,4.54,0,0,2
1,0,2.5,0,0,0
1,1.9999999,2.76,0,0,1
1,0,2.55,1,1,0
1,0,4.6199999,1,0,0
1,6.0000005,1.63,0,0,2
1,3,3.47,1,0,1
1,30.9999886,3.4100001,1,0,2
1,0.9999999,4.29,0,0,0
1,6.9999995,2.96,1,0,0
1,0,4.6199999,1,0,5
1,12,3.5899999,1,0,0
1,12,3.6900001,1,0,3
1,1.9999999,4.54,1,0,1
1,10.9999971,3.3399999,0,0,4
1,1.9999999,2.51,1,1,4
1,3.999999,3.1500001,1,0,3
1,3,3.1900001,1,0,1
1,17.9999981,3.1900001,0,0,1
1,1.9999999,3.8499999,0,0,1
1,3.999999,3.3399999,1,1,2
1,15.000001,4.29,0,0,2
1,3.999999,4.29,0,0,2
1,21,4.29,0,0,2
1,3.999999,4.29,1,1,0
1,0,2.96,1,0,0
1,0.9999999,1.78,1,0,0
1,17,3.54,1,2,1
1,3,3.6900001,1,0,0
1,1.9999999,3.3599999,0,0,3
1,1.9999999,3.54,1,0,0
1,0.9999999,3.54,1,1,0
1,3,1.22,1,1,3
1,3.999999,3.3599999,0,0,1
1,1.9999999,2.21,0,0,1
1,3.999999,2.25,0,0,1
1,17,4.6199999,1,1,2
1,4.9999981,3.5899999,1,0,1
1,0.9999999,4.29,1,0,0
1,1.9999999,2.1199999,0,0,2
1,3,2.26,0,0,2
1,3,2.26,1,0,4
1,4.9999981,4.29,0,0,0
1,3,3.5899999,1,1,3
1,13,4.29,1,2,1
1,1.9999999,2,0,0,1
1,0,1.97,1,2,0
1,7.9999986,3.9200001,1,0,0
1,39,2.8599999,0,0,4
1,26,2.8299999,0,0,2
1,3,3.3599999,1,1,3
1,22.9999962,2.5599999,0,0,4
1,7.9999986,1.63,0,0,1
1,22,4.6199999,0,0,3
1,4.9999981,4.6199999,0,0,1
1,21,4.29,1,0,3
1,6.0000005,4.29,1,1,0
1,3.999999,4.29,1,1,2
1,24.0000019,4.29,1,0,6
1,6.0000005,4.29,1,0,1
1,33.9999924,3.3599999,0,0,1
1,0,3.21,0,0,2
1,9.999999,2,0,0,1
1,1.9999999,3.21,1,2,2
1,3,2.5799999,1,2,2
1,3,2.5799999,1,0,0
1,0.9999999,2.8299999,0,0,0
1,6.0000005,3.1900001,0,0,1
1,3,3.47,0,0,1
1,22.9999962,4.6199999,1,0,2
1,13,4.25,1,0,4
1,4.9999981,1.86,1,0,2
1,9,4.29,1,1,0
1,9,3.3599999,0,0,0
1,9.999999,1.8,1,0,2
1,0,1.655,0,0,1
1,6.0000005,2.8599999,0,0,0
1,13.9999971,4.6199999,0,0,2
1,3,4.29,0,0,0
1,4.9999981,2.3599999,1,0,4
1,10.9999971,1.8099999,1,0,1
1,32.0000114,3.5899999,1,0,1
1,9.999999,1.76,0,0,0
1,4.9999981,2,1,0,1
1,13.9999971,3.5899999,0,0,5
1,6.0000005,2.26,1,0,3
1,3.999999,2.26,0,0,1
1,3.999999,1.76,1,1,1
1,0.9999999,3.5899999,1,0,1
1,0.9999999,3.5899999,1,0,0
1,4.9999981,2.8299999,1,1,1
1,1.9999999,2.5799999,0,0,1
1,17.9999981,4.6199999,1,0,1
1,15.000001,2.3199999,0,0,1
1,0,2.3900001,1,0,0
1,22,2.96,1,0,3
1,10.9999971,2.1199999,0,0,0
1,17.9999981,4.6199999,1,0,1
1,3,2.25,1,0,1
1,7.9999986,1.76,1,0,1
1,12,4.54,0,0,6
1,9.999999,3.6900001,1,1,2
1,1.9999999,1.25,0,0,0
1,4.9999981,1.25,1,0,1
1,3.999999,3.1900001,1,0,0
1,0,2.5799999,1,2,0
1,6.9999995,2,1,1,2
1,0.9999999,2.76,0,0,0
1,3.999999,2.54,0,0,2
1,0,3.1900001,0,0,0
1,9,3.0899999,1,2,1
1,3.999999,3.1900001,0,0,2
1,0,3.0899999,0,0,0
1,7.9999986,2.26,0,0,2
1,9,2.26,1,1,1
1,7.9999986,3.3599999,1,0,2
1,9,3.1500001,1,0,1
1,3.999999,4.54,1,0,0
1,0,3.5899999,1,0,2
1,3,3.47,1,0,1
1,1.9999999,2.8599999,1,1,1
1,6.0000005,2.26,1,0,0
1,3.999999,3.47,1,1,2
1,0,2.76,1,0,0
1,1.9999999,3.5899999,1,2,0
1,13,3.75,0,0,5
1,1.9999999,2.5799999,1,2,1
1,1.9999999,3.5899999,1,1,2
1,15.9999981,1.89,1,2,3
1,9,3.1500001,0,0,7
1,12,2.8699999,0,0,5
1,0.9999999,2.1199999,1,2,0
1,3.999999,4.6199999,1,0,1
1,0,2.3900001,0,0,0
1,10.9999971,2.1199999,0,0,0
1,4.9999981,1.8099999,1,0,0
1,7.9999986,2.3199999,0,0,4
1,15.000001,2.3900001,0,0,0
1,6.0000005,3.75,1,0,3
1,0,2,0,0,0
1,13.9999971,3.5899999,1,1,0
1,4.9999981,4.29,0,0,2
1,0,2.5799999,1,0,0
1,4.9999981,4.6199999,1,0,0
1,3,1.505,0,0,0
1,3.999999,3.75,1,0,2
1,3.999999,3.75,1,2,0
1,0,1.75,1,0,1
1,0,2.1199999,1,0,1
1,4.9999981,3.75,0,0,2
1,0,0.755,0,0,0
1,6.9999995,2.25,0,0,1
1,3,3.1900001,0,0,1
